PC,NeuronID,Loading,AbsLoading,RankWithinPC
1,921,0.134100394678021,0.134100394678021,1
1,946,0.133152272589359,0.133152272589359,2
1,846,0.132782946090387,0.132782946090387,3
1,936,0.132524713501986,0.132524713501986,4
1,656,0.1324834102874,0.1324834102874,5
1,696,0.132310036022861,0.132310036022861,6
1,716,0.132271254847787,0.132271254847787,7
1,671,0.13197908240318,0.13197908240318,8
1,1271,0.130749967988501,0.130749967988501,9
1,641,0.130400769466087,0.130400769466087,10
2,21,0.127732065148741,0.127732065148741,1
2,31,0.127341262368633,0.127341262368633,2
2,251,0.127063612242154,0.127063612242154,3
2,91,0.126927109336696,0.126927109336696,4
2,236,0.126885320458879,0.126885320458879,5
2,46,0.125682676534395,0.125682676534395,6
2,141,0.125516841277653,0.125516841277653,7
2,56,0.125153260580937,0.125153260580937,8
2,506,0.124896411879588,0.124896411879588,9
2,156,0.124706102662336,0.124706102662336,10
3,181,0.294070054918017,0.294070054918017,1
3,171,0.27778981066264,0.27778981066264,2
3,211,0.263289241181913,0.263289241181913,3
3,1226,0.237052524742677,0.237052524742677,4
3,1236,0.220415747058451,0.220415747058451,5
3,301,0.218434689138705,0.218434689138705,6
3,191,0.213664175219241,0.213664175219241,7
3,811,0.193152841505275,0.193152841505275,8
3,1221,0.180743306889248,0.180743306889248,9
3,1216,0.169681890757208,0.169681890757208,10
4,181,0.323436697639396,0.323436697639396,1
4,211,0.256251820109463,0.256251820109463,2
4,301,0.241259269165002,0.241259269165002,3
4,191,0.236386582220705,0.236386582220705,4
4,1146,-0.223293432231374,0.223293432231374,5
4,761,-0.209658277231213,0.209658277231213,6
4,1151,-0.205071952272293,0.205071952272293,7
4,801,0.204426611634749,0.204426611634749,8
4,1236,-0.198353071592218,0.198353071592218,9
4,171,0.171715401805801,0.171715401805801,10
5,1146,0.373497644909653,0.373497644909653,1
5,1196,-0.332812288527575,0.332812288527575,2
5,271,-0.263973668687134,0.263973668687134,3
5,1191,-0.254509071098744,0.254509071098744,4
5,1201,-0.219504344717509,0.219504344717509,5
5,761,-0.203268695154292,0.203268695154292,6
5,1216,-0.202113311915683,0.202113311915683,7
5,1236,0.186660665949148,0.186660665949148,8
5,746,0.186457426323788,0.186457426323788,9
5,721,-0.184613852699975,0.184613852699975,10
6,166,0.691879930858512,0.691879930858512,1
6,221,0.670460503272161,0.670460503272161,2
6,226,0.109482302708388,0.109482302708388,3
6,216,0.0885235299383239,0.0885235299383239,4
6,276,0.0652128813770608,0.0652128813770608,5
6,171,-0.0622213409578629,0.0622213409578629,6
6,206,0.0534405942880458,0.0534405942880458,7
6,886,0.0509489787576062,0.0509489787576062,8
6,181,-0.0508413702918923,0.0508413702918923,9
6,681,0.0467778207872532,0.0467778207872532,10
7,801,0.40928512829856,0.40928512829856,1
7,836,0.326609948829616,0.326609948829616,2
7,826,0.271100452644247,0.271100452644247,3
7,821,0.264569018229227,0.264569018229227,4
7,811,0.210453638381737,0.210453638381737,5
7,1236,-0.198891451502054,0.198891451502054,6
7,1226,-0.193465769522352,0.193465769522352,7
7,171,-0.166294272770619,0.166294272770619,8
7,186,0.164053398473751,0.164053398473751,9
7,866,0.157336789285925,0.157336789285925,10
8,276,0.586610443595726,0.586610443595726,1
8,271,0.337097440302511,0.337097440302511,2
8,231,0.235644630344234,0.235644630344234,3
8,821,0.196599799951853,0.196599799951853,4
8,181,-0.191762725079096,0.191762725079096,5
8,226,0.191296183900426,0.191296183900426,6
8,811,0.167000857849382,0.167000857849382,7
8,761,0.163850160743495,0.163850160743495,8
8,1156,0.155628544429938,0.155628544429938,9
8,246,0.141515531935896,0.141515531935896,10
9,96,0.350646086291344,0.350646086291344,1
9,826,0.337302438856997,0.337302438856997,2
9,186,0.330163040248382,0.330163040248382,3
9,801,0.226497167994357,0.226497167994357,4
9,226,-0.210658508638872,0.210658508638872,5
9,301,-0.207576185444457,0.207576185444457,6
9,756,-0.203055007538772,0.203055007538772,7
9,886,-0.201583262703602,0.201583262703602,8
9,866,-0.193339838901311,0.193339838901311,9
9,51,0.190640490881619,0.190640490881619,10
10,226,0.434886519245158,0.434886519245158,1
10,486,-0.427205071801384,0.427205071801384,2
10,761,-0.288152906044512,0.288152906044512,3
10,546,-0.242880646440558,0.242880646440558,4
10,821,-0.231692430283356,0.231692430283356,5
10,186,0.195222950649065,0.195222950649065,6
10,766,0.186821003624527,0.186821003624527,7
10,681,0.181160911347762,0.181160911347762,8
10,96,0.17812734511051,0.17812734511051,9
10,931,-0.144440055844057,0.144440055844057,10
11,486,0.451158720932731,0.451158720932731,1
11,226,0.318405561100759,0.318405561100759,2
11,546,0.264865646537894,0.264865646537894,3
11,276,-0.254387689771675,0.254387689771675,4
11,681,0.25239902804137,0.25239902804137,5
11,186,0.251674772937298,0.251674772937298,6
11,916,-0.227251240905359,0.227251240905359,7
11,556,0.195158866866981,0.195158866866981,8
11,231,-0.194104126280533,0.194104126280533,9
11,746,-0.166435000435074,0.166435000435074,10
12,486,0.559378537270282,0.559378537270282,1
12,556,0.351893315910531,0.351893315910531,2
12,96,0.270013809603306,0.270013809603306,3
12,276,0.256615499847262,0.256615499847262,4
12,811,-0.211045505844265,0.211045505844265,5
12,766,0.181956280079057,0.181956280079057,6
12,196,0.17692620951141,0.17692620951141,7
12,746,0.161763365459484,0.161763365459484,8
12,761,-0.158583538505484,0.158583538505484,9
12,941,0.157657494526864,0.157657494526864,10
13,96,0.548953746503375,0.548953746503375,1
13,186,-0.454807540996518,0.454807540996518,2
13,161,-0.205223916088171,0.205223916088171,3
13,51,0.194768273511349,0.194768273511349,4
13,1201,-0.176626523062613,0.176626523062613,5
13,1221,-0.169352376788041,0.169352376788041,6
13,681,0.158101827564954,0.158101827564954,7
13,211,0.154805115645387,0.154805115645387,8
13,271,-0.151579339677205,0.151579339677205,9
13,246,-0.147936726616821,0.147936726616821,10
14,51,0.490163666219725,0.490163666219725,1
14,556,-0.358392618750866,0.358392618750866,2
14,486,0.265534910756965,0.265534910756965,3
14,546,-0.236827627611189,0.236827627611189,4
14,186,0.235398994444727,0.235398994444727,5
14,586,0.228241337746051,0.228241337746051,6
14,721,-0.201031312871427,0.201031312871427,7
14,161,0.193457713944855,0.193457713944855,8
14,226,-0.169974372099883,0.169974372099883,9
14,766,0.168217171348283,0.168217171348283,10
15,556,0.77449331964968,0.77449331964968,1
15,51,0.28617165538545,0.28617165538545,2
15,486,-0.23250812144607,0.23250812144607,3
15,11,-0.183533377064743,0.183533377064743,4
15,546,-0.172838410512761,0.172838410512761,5
15,226,-0.146718261959859,0.146718261959859,6
15,586,0.127245763015326,0.127245763015326,7
15,721,-0.123026274560413,0.123026274560413,8
15,1201,-0.11928995658764,0.11928995658764,9
15,96,-0.110807963355213,0.110807963355213,10
16,96,0.43279329542208,0.43279329542208,1
16,546,0.422686795243923,0.422686795243923,2
16,826,-0.329120398827938,0.329120398827938,3
16,486,-0.274121344038375,0.274121344038375,4
16,186,0.231671166368254,0.231671166368254,5
16,681,-0.218877632662948,0.218877632662948,6
16,821,0.190102352604623,0.190102352604623,7
16,161,0.182078665575987,0.182078665575987,8
16,801,-0.169232323406737,0.169232323406737,9
16,1201,0.164535834412047,0.164535834412047,10
17,96,0.448680488997655,0.448680488997655,1
17,546,-0.307559998690459,0.307559998690459,2
17,196,-0.281441405873743,0.281441405873743,3
17,226,-0.27541370328623,0.27541370328623,4
17,271,0.274875475634093,0.274875475634093,5
17,486,0.226758586510633,0.226758586510633,6
17,51,-0.190018638153451,0.190018638153451,7
17,586,-0.173576337824194,0.173576337824194,8
17,1151,-0.166102629415096,0.166102629415096,9
17,161,-0.164285567760712,0.164285567760712,10
18,11,0.838831223495644,0.838831223495644,1
18,196,-0.299199792274588,0.299199792274588,2
18,186,0.199763527118478,0.199763527118478,3
18,246,-0.177792476162086,0.177792476162086,4
18,51,0.142910044688098,0.142910044688098,5
18,61,0.124532720852077,0.124532720852077,6
18,231,0.106042645168791,0.106042645168791,7
18,546,-0.103170730466783,0.103170730466783,8
18,556,0.0974682417448826,0.0974682417448826,9
18,226,-0.0760776245452681,0.0760776245452681,10
19,51,0.31476185218621,0.31476185218621,1
19,186,-0.306254796613534,0.306254796613534,2
19,766,-0.247610753740242,0.247610753740242,3
19,161,-0.229703250055568,0.229703250055568,4
19,246,0.229592260212724,0.229592260212724,5
19,761,-0.218189461098243,0.218189461098243,6
19,586,0.216919374947796,0.216919374947796,7
19,11,0.210362527947776,0.210362527947776,8
19,271,0.199207485038288,0.199207485038288,9
19,721,-0.197799183330873,0.197799183330873,10
20,196,0.55659477580576,0.55659477580576,1
20,161,0.384966593119099,0.384966593119099,2
20,11,0.309856754879321,0.309856754879321,3
20,546,-0.23870866028581,0.23870866028581,4
20,276,-0.232719814494425,0.232719814494425,5
20,761,0.221915440631633,0.221915440631633,6
20,186,-0.210525981572272,0.210525981572272,7
20,586,-0.181841296499253,0.181841296499253,8
20,246,0.180473528211174,0.180473528211174,9
20,226,-0.149741560369438,0.149741560369438,10
